Número Identificador,Nome,Orientações em Andamento,Orientações concluidas
0001044229019084,Paulo Henrique Pierin Macaúbas,0,0
0001045834502169,Cláudia Cunha Melo Barros,0,13
0001062183557237,Aline Feitosa Sampaio,0,0
0001070600232667,Mônica Pereira Juergens Age,0,0
0001073080069679,Raissa Estrela Curado,0,1
0001109136127533,Silvio Cesar Silva,0,0
0001110897037580,Eduardo Lacreta Leoni,0,0
0001111917983214,Michele Viana Trevisan,0,0
,Bruno Cezar Rodrigues Fernandes,0,0
0001159703467890,Maria Bonfim Casemiro,0,1
0001182599176423,Lucas Antônio Silveira Silva,0,8
0001184963125242,Rosane Catarina dos Santos,0,9
0001199049062038,José Fernando de Morais Firmino,0,0
0001200746250229,Camila Cardoso,1,0
0001215580335377,Ida Peréa Monteiro,0,2
0001229313360390,Jose Julian Apraez Munoz,0,1
0001240046723870,Diogo Angeli Theotonio,0,3
0001243404402028,Andréa Novo Duarte,0,12
0001254051266765,Décius Vinícius Mota Pereira,0,3
,Sandra Silva Moura,0,6
0001270804333904,Fernanda Passos da Trindade Jorge Neres,0,0
0001278563193746,Flávia Costa Prazeres,0,0
0001296227241220,Gustavo Selenko de Aquino,1,4
0001306476117006,Raimundo Nonato Nogueira Reis,0,0
0001311191167168,Odirney Benedito da Silva,0,0
,Amilde Praxedes Marques de Paiva,0,0
0001364627398599,Italo Farias Braga,0,0
0001384073059394,Ana Paula Silva de Almeida,1,13
,Luís Fernando Kaefer,0,0
0001394224092286,Alex Marino Gonçalves de Almeida,0,4
0001405802618313,Catherine Ferreira da Silva,0,0
0001415989414295,Gabriela de Souza da Silva,0,0
0001425259162429,Eder Eugenio Munhão,0,0
0001437184013714,Eloisa Toffano Seidel Masson,0,0
0001473565786976,Leiliane Aparecida Alcantara Felix,0,0
0001490819034799,Luiz Eduardo Gapanowicz,0,0
0001491955099628,Martina Gaudie Ley Recena,0,0
0001497839775404,Danilo Aparecido Serafim Alves,0,0
0001502598657219,Fernanda Maia Lyrio,3,21
0001515719558968,Cristiani Passolongo Noveli,0,83
0001524993309289,Danieli Bariviera Zitterell,0,0
0001526633798453,Ramon de Almeida Kruschewsky,3,1
0001538265306784,Licia Felix de Andrade Ramalho,0,0
0001574402375893,Francileine Rodrigues da Conceição,0,1
0001583951154781,Aízis Tatiane Santos Gonçalves,0,0
0001611130658482,Daiane Petry,0,0
0001616103695815,Saima Khan,0,0
0001617988838816,Paula Martins da Silva Costa,0,0
0001631410180182,Vanusa Belarmino,0,0
0001651504140762,José Afonso Passotto,0,0
0001653143485440,Cláudia de Matos Fernandes,0,2
0001673146416401,Carine de Oliveira Souza Bordallo,3,15
0001679669878856,Aylton,0,2
0001705958784703,Carolina Tavares Sancho Monteiro,0,0
0001706761230258,Alessandra Barreto da Silva,0,0
0001709989882599,Ivana de Oliveira Lima,0,0
0001714446337215,Luciane Hinterholz,0,0
0001731869354261,Marcus Vinícius Ruiz Gusman,0,0
0001740296840278,Deivid Antunes Tesch,0,0
0001772074458115,Renata Pereira Cardoso,0,0
0001784225478491,Osmany Mendes Parente Filho,7,9
0001791688931852,Walid Machado Botelho Arabi,0,83
0001793352179270,Jhony Moreira Marcelino,0,0
0001798856111412,Érica Arrué Dias,0,0
0001800676412256,Claudia Rafaela Cecchin,0,0
0001828399067959,Vagner Gomes Machado,0,0
0001828581674972,Dayanne Schetz,0,20
0001835619038835,Paulo Henrique Meller Sobreira,0,0
0001879810909006,Paulo Cesar Zebediff de Almeida,0,0
0001888086713477,Viviana Gonçalves Silva,0,0
0001930305994010,Ademir Campos da Costa,0,0
0001933181864132,Renata da Silva Winning,0,1
0001958208098314,Simone Guimarães Teixeira Souto,0,29
,Kaloyan Nikolaev Kenov,0,0
0001972327320026,Alex Junior Rapczynski,0,0
0001988603458246,Emanoelle Patente Santos,0,0
0001997605231221,José Anchieta Bezerra de Melo,0,0
,Carlos Alberto Moysés,0,0
0002022806549321,Letícia Naresse Zambon,0,0
0002027463902779,Patrícia Aparecida Proença Avila,0,2
0002033378467661,Vivian Monica Faria,0,0
0002035835815084,Cristiane Leitão da Silva,0,31
,Rosilene Cardoso Barbosa,0,15
0002042606347002,Renata Tatsch Eidt,0,0
0002066159789683,Camila de Paula Maria da Silva,0,0
0002074820320950,Cíntia Helena Monteiro Borges,0,1
0002082025602962,Maryana Lemos Nogueira Rela,0,0
0002099789541475,Irán Fernández Torres,0,0
0002111752747216,Carlos Rubens Zacarias,5,10
0002118748978807,Marcus Fabrício Gonçalves Oliveira,0,0
,Letácio Fonseca do Nascimento,0,0
0002164831174946,Raysa Calegari Aguiar,0,0
0002174816941944,Mateus Rodrigues Barbosa,0,0
0002181884103709,Ana Lídia Gonçalves Medeiros,0,0
0002187508747595,Neucimar de Oliveira Duarte,0,0
0002199020873461,Filipe Galina Costalonga,0,0
0002222960774045,Cassio Gerez,0,0
0002225725068045,Nikolay Rutkevich,0,0
0002227533185907,Fernanda da Silva Gomes,0,0
0002230592908820,Arthur Ambrogi,0,0
,Alexandre Magno Junqueira Enout,0,0
0002254037931501,Ivonicleia Gonçalves Boroto,0,0
0002277664242727,Alícia Giolo Hippólito,0,2
0002289157115746,Bruno Polloni,0,0
,Marilza Pacheco Almeida,0,0
0002309087658707,Renan Moreira Madeira,0,0
0002324418333221,Érika Abreu Pereira,0,12
0002376330121066,Thiago Canhos Montmorency Silva,0,1
0002456145267675,Liliana Pimentel,0,17
0002465740899549,Fernanda Semião Garcia Pedra,0,14
0002469215796203,Andressa Ferreira Lamas Guarconi,0,0
0002493875359898,Lilianne Cabral Rabelo,0,0
0002522249716576,Marianne Trindade Câmara,0,0
0002584051048658,Joselene Vaz da Silva,0,0
,Vania Maria De Paoli,0,0
0002666383068853,Alexandre Elmães de Marsillac,0,6
0002691262341536,Rodrigo Borges de Almeida,0,0
0002724571060451,Ana Cláudia Alves de Oliveira Santos,0,28
0002760226044780,Patricia Zamprogno Tavares,0,0
0002769634690374,Alice Patrícia Lopes Faro e Santos,0,0
0002780356264414,Javiera Fernanda Medina Macaya,0,0
0002788091649909,Josefa Fernanda Evangelista de Lacerda,0,0
0002789608551340,Sérgio Julián Zanella Martínez Caro,0,0
0002796832376397,Darlan Bernardes,0,6
0002803326787406,Suenny Mascarenhas Souza,0,0
0002808036911233,Maria Bernardete Alves Feitosa,0,0
0002814840611184,Carlos Gomes de Oliveira Filho,0,0
0002857295325619,Adeline Chaicouski Meneguzzo,0,0
0002900397911881,Yara Fernanda Novatzki,0,1
0002904336444966,Gerson Elieser Freitas de Morais,0,3
0002940318957383,Elen Amoreli Gonçalves Cintra Miranda,0,0
0002985365534156,Helena Sordili Ishara,0,3
0002997622801475,Sting Silva Duarte,0,0
0003004482837380,Fernanda Assumpção Castro,0,0
0003007440493727,Rosangela Goes Rabelo,0,8
0003008185158018,Camila Sousa da Silva,0,33
0003044666675940,Luiz Roberto Salomão,0,0
0003052242458832,Júlio Moraes Oliveira,0,128
0003066319741727,Edward Valeriano de Luiz Gonçalves Ayres de Abreu,0,0
0003077893435384,Thais Deluno Garcia,0,0
0003098323248183,Raul Lemos Arthuso,0,0
0003125655905368,Andreia de Menezes Olivo,3,66
,Natalia Moreno Gaino,0,0
0003177602765341,Artur Luís de Abreu Mendes,0,0
0003183998845253,Yasmin Getirana Gonçalves Vicente,0,0
0003203018449879,Wagner Cipriano da Silva,1,0
0003203114454395,Adriano Barros de Almeida,5,4
0003224125812738,Luiz Felippe Matta Ramos,0,28
,Edith Stenzler Frankenthal,0,0
0003296362622289,Matheus lima moura de araújo,0,0
0003300868507923,Carolina Leite Barbosa Cajazeira,0,2
0003301264116733,Leide Gonçalves Cota,0,11
0003344209422360,Flavio Eduardo Magalhães Taam,0,0
0003358727929775,Sandra Regina Turke Mariano,0,0
0003376118859999,Consuelo Coelho Haviaras,0,0
0003382989619136,Tainá Maria Travassos Mota Martins,0,0
0003420707777154,Diego Fernando Burgos Beltrán,0,0
0003429941474126,Sirlene Pio Gomes da Silva Peixoto,0,0
0003430528765575,Brenner Stefan Gomes Silva,0,0
0003441608575946,Marcelle Napoleão do Rêgo Formiga,1,1
0003451285184317,Cleiton Santos Pessoa,0,9
0003457538179697,Alexandre Lobo Pinheiro,0,0
0003464795620381,Mayara Evelyn Vendramin,0,0
0003467141567774,Sergio Roithmann,0,0
0003525675357947,Janna Thainá Magalhães Mello,0,0
0003528019425524,Karla Regina Brunaldi,0,56
,Ermelinda Gonçalves Rodrigues,0,0
0003544430932137,Jader Cavalcanti de Albuquerque Neto,0,0
,Marco Antonio Tejero de Souza,0,0
0003575267121159,Karine Magalhães Fernandes Vieira,1,1
0003590616508894,Lucimara de Araujo Ramos,0,0
0003597278737136,Bruno Marinho Calado,0,0
0003640291540990,Abdoulaye Boré,0,0
0003650449204797,Lucas Santiago Rodrigues,0,0
0003668987258134,Joyce da Silva Martins,0,0
0003681205949850,Guilherme Lucas Moreira Dias Almeida,0,0
0003684645152989,Ana Ivone Salomon Marques,0,0
0003687992674418,Bianca Fortes Palley,0,0
0003691257356865,Déborah Nogueira Araújo e Pio,0,0
0003697913297633,Klezio Darlain do Espirito Santo Silva,0,0
0003704200500571,Giselle Leonetti,0,0
0003711103640686,Julio Damian Suni Mamani,0,0
0003730672405496,Alan Kardel Pereira dos Santos,0,2
0003745445112204,Claudia Miranda Leal Francisco,0,0
0003797881434693,Claudir José Daltoé,1,11
0003801317251812,Francisco Carlos Nogueira,0,0
0003858484811257,Airton Pretini Junior,0,0
0003863124134153,Edimilla Carneiro da Cunha Aguiar,0,0
0003904197903328,José Davi Cavalcante Moreira,0,0
0003922761278191,Fernanda da Silva Saraiva,0,0
0003934970227426,Marcus Bruno Fernandes Silva,0,0
0003999096301924,Jalberto Dória da Silva,0,5
0004017957218231,Gustavo Carlos Ferreira,0,14
0004019062759807,Caroline Poletti Dutra,0,0
0004024029583845,Audie Nathaniel Momm,0,1
0004055024467021,Luiz Ernandes Silva,0,10
,Carla Figueredo Molina,0,0
0004070872612317,Zeneida Parente Alves Neta,0,0
0004071200866945,Carolina Aschoff Diniz Sobreira Terto,0,0
0004097132014094,Gabriela Martins Ferigato,0,0
0004105384511862,Maria Regina Rodrigues Costa,0,0
0004107946099917,Jefferson Brandão Moreira,0,16
0004111917936453,Fabricio Bondan,0,0
0004118216969205,Rafaela Taisa Menin,0,0
0004154728684342,Leonardo Figueira Colossi,0,0
0004174310341491,Tiago Sampaio Lins,0,0
0004185084430939,Sheila Glaucieli Fenske,0,0
0004194103108445,Marcelo Kochenborger Scarparo,0,0
0004197570197141,Pedro Fraga dos Santos,0,0
0004198994940122,Welington Henriques Fernandes,0,1
0004231833443665,Carlos Henrique Xavier Araujo,1,0
0004262696154412,Sergio Luiz Winkert,3,21
0004281736160732,Nina Ricardo Dias da Costa,0,0
0004309297800925,Ana Carolina Batista Brochado,1,2
0004313975033635,Denise Kruger Moser,0,33
0004322513099835,Rodrigo Lima Veloso Ribeiro,0,0
0004335526672254,Flávia da Silva Taques Vieira,0,0
0004359484697739,Adriana Cajado Costa,3,160
0004388301741973,Henry Alexandre Durante Machado,0,0
0004399003926049,Francyelle Gurgel de Castro Alves,0,0
,Thaine Regina Backes,0,0
0004427880964462,Thiago Bisolo,0,0
0004442536740306,Vanessa Biasi,0,33
0004442929046985,Daniel Luiz de Carvalho Mota,0,0
,Delta Doreste Badajoz,0,0
0004474201249470,Luana Redrang Grossi,0,0
0004480493744562,Guilherme Rezende Bessa Ferreira,1,0
0004488276814860,Creunice de Lourdes Fais,3,32
0004497105705958,Ana Maria Bercht,0,0
0004497153713189,Mariane Coppini,0,0
0004503010010121,Igor Ferreira Batista Martins,0,0
0004505249725173,Matheus Alan Cardoso Correa,0,6
0004526811128079,Djalou Joseph,0,0
0004529191717659,Danúbia Paula Cadore Favaretto,0,0
,Adhemar Bento Gomes Filho,0,0
0004533884731204,Edgar Teofilo do Rosario Neto,0,0
0004537973537029,Verena Rebeca Dias de Andrade,0,0
0004543454417551,Marcilio Ferraz da Silva,0,0
0004579621511616,Leila Giovana Izidoro,0,0
0004604310448888,Rosangela Breda Scipioni,0,16
0004677110889557,Aline da Trindade Quintela Santos,1,22
,Alan Araújo Monteiro de Souza,5,18
0004706974433504,Márcio Gonçalves Moreira,0,3
0004709327654588,Elizabeth David dos Santos,0,0
0004728135476342,Melina Gruber Endres,0,0
0004730081140352,Francisco Borges Rodrigues,0,0
,Marcia Brandão Zollinger,0,0
0004765307780517,Maria das Graças Reis Barreto,0,0
0004771466043417,Juliana Figueiredo Tokita,0,0
0004795305348532,Ricardo Marcelo Tichauer,0,0
0004803323285583,Felipe Osmar Berwanger Brochier,0,0
0004810409974934,Nathália Bauer Armbrust,1,0
0004811548524219,Aniel Pereira Braga Filho,0,6
0004813514449847,Adriana Amadeu Pinatti,0,0
0004815105458856,Patrícia Sanches Giordano,0,7
0004843775897200,Vinicius Eduardo Silva de Oliveira,0,0
0004848161894580,Angela Schmitz Peter,0,0
0004853560386727,Christina Tereza Portelada Bandeira de Oliveira,0,0
0004856095658604,Ladjane de Barros Silva,0,30
0004905013706665,Tathiana Paula Rodrigues Bezerra,0,0
0004907563292698,Elisa Kimus Dias Passos,0,0
0004910911997763,Thamires Regina Sarti Ribeiro Moreira,1,6
0004927015781143,Gruwer Iúri Maciel Nascimento,0,0
0004927049027316,Sebastião Lázaro Bonadio,0,35
,Luiz Antonio Carletto,0,0
0004972418929814,Wilderson da Silva Cardoso,0,1
0004984118085349,José Carlos Bastos Junior,0,1
0005000111322850,Izabelle Galiardo Garcia,0,1
0005034981063261,Thais Saccardi,0,0
0005081480416678,Jessica Santana Bruno,0,0
0005083337704662,Ana América Gonçalves Fróes,0,0
0005104031391481,Mariana Falcão Chaise,0,0
0005127442510074,Adilson Lombardo,0,0
0005131228746311,Edmundo Arnildo Heuser,0,1
0005161423523776,Danilo Henrique Morais Castro Oliveira,1,0
0005174908051947,Louise Helena Guimarães de Oliveira,0,0
0005214625835359,Aline dos Santos Silva,0,4
0005226896935928,Taise Colpani,0,0
0005233551258636,Joao Paulo Gomes do Nascimento,0,0
0005256048362937,Miriam Lange Guerra,1,1
0005276744458116,Osmar Rezende de Abreu Pastore,4,13
0005310151557397,Rogério Brambila de Carvalho,0,0
0005329854995245,Aline Cavaliere de Nijs,0,0
0005331062185332,Fernando Sigulem,0,0
0005354848217478,Márcia Estela Daltoé da Silva Krampe,0,0
,Martha Azevedo de Siqueira,0,1
0005362232109247,Tiago Cesar da Silva,0,0
0005362246662882,João Carlos de Aguiar Nascimento,0,0
0005381427207346,Marcelo Makoto Oizumi,0,0
0005388199022726,Priscila Telles de Oliveira,0,0
0005388876750430,Celia Maria de Souza Sanches Vieira,5,63
0005403558706380,Alice do Carmo Precci Lopes,0,2
0005404589825002,Aramice Francisco de Souza,0,0
0005409683266393,Ana Cristina de Lima Santos,0,12
0005411438194769,Lídio Sânzio Gurgel Martiniano,13,12
0005459060731167,Thiago Cesar Bezerra Moreno,0,0
0005460405097787,Walkyria Silva Ferreira,0,14
0005463882882068,Marina Sena Lopes da Silva Sacchetto,0,1
0005463927360162,Aparecida Bueno Nogueira,0,8
0005507611891188,Cracios Clinton Consul,0,2
0005515643064487,Joamir Henrique da Silva,0,0
0005518347969317,Marcus Vinicius Canela,0,0
0005520092395518,Reginaldo Paulo Giassi,0,0
0005558843039794,Letícia Sausen Hamester,0,0
0005576048907083,Bianca de Oliveira Ramiro,0,0
0005596648356647,Natália Santos de Santana,7,3
0005609002723983,Ursula Simões da Costa Cunha Vasconcellos,0,0
0005614199579039,Edilene Gianelli Lopes,1,5
0005652399694251,Fabiane Veras Klein de Aquino,0,15
,Maria de Fátima Lima de Avila,0,0
0005663351692574,Ilka Monique da Costa Lima,0,0
0005687923730785,Isabel Cristina Blum Schneider,0,0
0005695577020947,Joana Mara Polycarpo Ferreira da Silva,0,0
0005704101185578,Sheila Ferreira Kuno,0,0
0005708345314718,Daniella Reis Fernandes Teles,0,0
0005712041028657,Elvis Amsterdã do Nascimento Pachêco,0,0
,Maria Suzete Sousa,0,0
0005747093391879,Alex Pessa Pio,0,0
,Márcia Aniceto Hargreaves,0,0
0005769830859763,José Edson Mora,0,288
,Amanda Magaton,0,0
0005799199227330,Júlia Santiago de Matos Monteiro Lira,0,0
0005814269868869,Jorge Kawamura,0,89
0005836210957187,Luíza Merlini Garcia Dalagnol,0,0
0005855279586138,Deise Maria Bourscheidt,1,15
0005886898168627,Massakazu Takakura,3,95
0005889223242061,Onair Zorzal Correia Júnior,0,4
0005918865322302,Leandro Ramos Martins,1,0
0005980109263320,Marcos Valerio Martins Soares,2,41
0005993441938481,Odirlei Dias Pereira,0,0
0006050014380111,César Alves Carneiro,0,0
0006059433875642,Silas Marques Ferreira,0,0
0006070474521947,Tatiane Dulcineia Silva,0,2
0006072016824325,Paulo Ricardo dos Santos Gomes,0,0
0006072212670771,Luis Fernando Beux,0,0
0006098768484440,Anayara Gomes dos Santos,0,7
0006130840932736,Tamyris Madeira de Brito,0,17
0006164585784213,Marcos Ricardo Covre,0,0
0006218345567070,Débora Cristina Baraldi,0,10
0006220302138247,Ademar Oliveira Cirne Filho,0,0
0006242022079242,Iglenho Burtet Bernardes,0,0
0006263489311010,Guilherme Mateus Dias Barbosa,0,0
0006265659506226,Dayane de Fátima Schmidt,0,0
0006279264194853,Marcus Vinicius dos Reis Venditti,0,0
0006299786356829,Leandro Faleiros Garcia,0,0
0006304975186634,Martinho Guilherme Fonseca Soares,0,0
0006304997327992,Luiza Fernandes Tem Tem,0,0
0006315482369236,Vanessa Melato da Silva,0,0
0006324279145144,Luís Raul Andrade,0,0
0006326109367726,Paula Cristina Piva,0,0
,Gilda Maria Monteiro Chaves,0,0
0006356299626730,Mario Cesar Fernandez de Salles,0,0
0006363558755285,Paulo Henrique Cardoso de Souza,0,0
0006365074296754,Fabiana Beckert,0,3
,Marinez Siveris,0,0
0006389507727264,Raimundo Afonso Cardoso Delgado,2,14
0006408801135916,José Rogerio da Silva,0,0
0006416283096434,Thais Elena Lotumolo,0,0
0006425020886832,Eduardo Soares de Abreu,0,0
0006430240175314,Carlos Alberto Abrantes,1,14
0006431405091029,Ricardo de Campos Leinig,0,0
0006432267938903,Fernanda Ely Borba,0,0
0006447218441050,Juliana Cortes Paes,0,0
0006448816555248,Jéssica Barata da Silva,0,0
0006454675265402,Chan Fang Lin,0,0
0006487330661424,Cristiane Tângari Dib Finholdt,1,29
0006511302424424,Antônio Eduardo Martins Amorim,0,24
0006521124885006,Elso de Freitas Moisinho Filho,0,29
,Leonardo Lisbôa,0,0
0006528777758770,Marili de Souza Gomes,0,71
0006529201448854,Liliane de Deus Barbosa,0,0
0006555070367088,Matheus Santiago Silva,0,0
0006600868518231,José Gerson Maciel dos Santos,0,0
0006664378666950,David Arnaud Soares,0,0
0006671773187478,Lilibth Wilmsen,0,0
0006686441679872,Karina Meschini Batista Geribello Porto,0,0
0006688096305540,Anacleto Conceição dos Santos,0,4
0006692892303341,Amilton Medeiros Chaves de Moraes,1,0
0006711072007425,Derek Roosel Ribeiro Antunes,0,0
0006735123016198,Daniel Osterreicher Laporta,0,0
0006737427167408,Manuela Moura Dantas,0,0
0006754316104580,Fernanda Couto Teixeira,0,0
0006755581834912,Eudimara Carvalho de Araujo,0,0
0006760304010696,Túllio Alexandre Mustafé da Cruz,0,80
0006812187399709,Isabel Castilho Palhano,0,0
0006828084468691,Adjardo Pereira da Silva,1,15
0006832726895462,Ilmara Monteverde Martins Ramos,3,56
0006839982911783,Andrea Denise de Camargo,0,0
0006848624818441,Lilian Brazile Trindade,0,0
0006867339045034,Kenia dos Santos Oliveira,0,6
0006891202314255,Aldryn Brandt Jaeger,0,0
0006901813032032,Edward Brambilla Marcellino,0,0
0006943398671510,Jéssica Kellen Rodrigues,0,0
0006962140948656,Angélica Cristiane Moreira,29,89
0006985710196905,Ticiane Moraes Franco,2,5
0006989373004157,Jorge Horácio Nicolas Audy,0,0
0007002964216889,Kézia Cristina Batista dos Santos,1,2
0007014140133576,Christiano José Perlatto,0,45
0007020401546993,Milena Teixeira Rosa,0,2
0007035109137794,Mariana de Assunção Rodrigues,0,0
0007073066440403,Claucida Silva de Oliveira Lima,0,0
0007077647586597,Tuanny Cavatão de Freitas,0,0
0007084435264971,Lisa Paula Generoso,0,0
0007093051131758,Andrea Beltrani Donadia,0,0
0007096735173679,Cláudio Figueiredo Rocha,0,0
0007116541401886,Ana Maria Cerqueira Luiz,1,20
0007118369181919,Daniela da Silva Alves Monteiro,0,0
0007125399109165,Wesley Gonçalves Silva,0,0
0007137364318373,Rebecca Almeida de Medeiros,0,0
0007139566941267,Márcia Cristina Gomes Molina,0,24
0007162275814218,Maria Paula Martelli Giraldes,0,1
0007209683781890,Irene Bender Konrad,0,0
0007219157164418,Amanda Carpenedo,0,0
0007245535223392,José Carlos Batista de Lira,0,0
0007274579983726,Francisca Jeane Pereira da Silva Martins,1,8
0007286903913767,Tayná Maria Amorim Monteiro Xavier,0,0
0007309676362485,Thiago Braga Ferreira,0,0
0007316486581739,Eduardo Henrique Castro Mendes,0,11
0007316700845883,Matheus Carneiro Lima,0,0
0007338673187449,Lafaiete Cotinguiba Araújo,0,0
0007362142505489,Luciene de Souza Kichel,0,7
0007372562166290,Alan de Oliveira Lopes,0,11
0007397879244486,Liziane Vilela Vasconcelos,0,0
0007400969958122,Matheus Reis,0,5
0007417730677434,Luci Pinheiro das Chagas Manes,0,0
0007418624637855,Hugo Aureliano da Costa,0,0
0007420905928668,Tercio Vaisnava Fehlauer,0,0
0007428128229777,Bruno Moraes da Silva,0,0
0007458504737497,Raquel Machado Lopes Rudnik,0,0
0007483442089490,Emerson Souza Miler,0,5
0007541929654736,Rebeca Amelia Toassa Gomes Mousquer,1,4
0007549364090546,Ricardo André de Medeiros Maciel,0,10
0007563067881201,Paula Maciel Bizzotto Garcia,0,17
0007565443376561,Diego Fangueiro Vieira,0,0
0007581766721932,Nayara Lizandra Leal Cardoso,0,1
0007600271277137,Ronaldo Gomes de Carvalho,0,0
0007623572467663,Daruiz Castellani,0,0
0007624220396588,Simone Cruz de Oliveira,0,0
,Gilberto Mendes de Araújo,0,2
0007635385994311,Sérgio Paulo Mesquita Júnior,0,0
0007636021173787,Bárbara Louise Losada Tuzuki,0,0
,Marion Leticia Bartolamei Silva,0,1
0007645413791249,Carlos Humberto Almeida Ribeiro Filho,0,24
0007668266713305,Cíntia Fumi Yamamoto,0,0
0007682326191100,Simone Sobiecziak,0,4
0007686535480024,Rogério João de Freitas,0,0
0007720995984934,Rogenia Maciel Lins,0,0
0007722267014493,José Alexandre Barbosa,0,0
0007724544472453,Andreia Rodrigues Hoshino,0,0
0007726424211800,Caroline Vieira Gonçalves,0,0
0007750193413868,Iloana Peyroton da Rocha,0,0
0007750615932175,Andrei José dos Santos Martelli,0,0
0007781055828568,Marcio Rodrigues Sabino,5,34
0007783740344148,Renato Calixto Marcondes Cafruni,0,23
0007785267921093,Diana Luzia Zuza Alves,0,0
0007796572408797,Luiz Fernando Castelli,0,0
0007797825519383,Renan Carlos Teixeira,0,0
0007807732343091,Jeferson Roberto Collevatti dos Anjos,1,20
0007811111231466,Mariana Gomes da Cruz,0,0
0007837193797126,Walber Figueiredo Madureira,0,0
0007897303119651,Anderson Pedro Laurindo,1,1
0007926733298855,Elza Lúcia Baracho Lotti de Souza,0,4
0007939893227245,Áquila Samara Silva Quadros Mattielo,0,1
0007942004849281,Azemeraw Tadesse Mengistu,0,0
0007951596374378,Beatriz Silva Villa Alvarez,0,0
